,category_code_description,market_value,parcel_number,sale_date,sale_price,total_area,taxable_building,taxable_land,zip_code,zoning,lat,lng,tax_assessment,sales_ratio
1,Single Family,255100.0,11430000,2018-08-06,585000.0,1042.72,158213.0,56887.0,191481303,RM1  ,39.928149407317,-75.1523772221798,215100.0,0.3676923076923077
20,Single Family,662600.0,21013214,2019-01-11,632500.0,1019.89,0.0,188842.0,191470000,CMX2 ,39.9383849860637,-75.1568338449419,188842.0,0.29856442687747037
48,Single Family,303400.0,11380300,2018-11-23,309000.0,693.01,59565.0,64275.0,191481807,RSA5 ,39.9267833226395,-75.1550695963031,123840.0,0.4007766990291262
51,Single Family,161200.0,11380600,2018-11-17,145000.0,701.0,85252.0,35948.0,191481807,RSA5 ,39.926802996320504,-75.15521763486659,121200.0,0.8358620689655173
102,Single Family,460000.0,21583600,2018-10-29,330000.0,629.01,117061.0,107939.0,191475032,RSA5 ,39.933901861336295,-75.16244948695271,225000.0,0.6818181818181818
114,Single Family,285100.0,12364700,2018-06-15,280000.0,851.62,232356.0,52744.0,191481611,RSA5 ,39.926520223649604,-75.1618491963618,285100.0,1.0182142857142857
117,Single Family,256500.0,12365500,2018-06-26,335000.0,712.79,209048.0,47452.0,191481620,RSA5 ,39.9262708034651,-75.1610993340622,256500.0,0.7656716417910447
127,Single Family,214300.0,12366600,2019-01-29,130000.0,593.75,174653.0,39647.0,191481620,RSA5 ,39.9263252827715,-75.16158947003241,214300.0,1.6484615384615384
155,Single Family,292000.0,12451300,2018-08-03,370000.0,757.92,220460.0,71540.0,191476307,RSA5 ,39.9302324660138,-75.16376343400829,292000.0,0.7891891891891892
167,Single Family,648100.0,12452400,2018-05-08,600000.0,757.92,75263.0,150845.0,191476307,RSA5 ,39.930622507874205,-75.16413157621791,226108.0,0.37684666666666666
209,Single Family,339400.0,21411000,2018-09-12,480000.0,800.0,205385.0,94015.0,191475304,RSA5 ,39.9327346013235,-75.1497200542343,299400.0,0.62375
257,Single Family,193300.0,21537400,2019-03-11,293500.0,720.0,135332.0,57968.0,191473725,RSA5 ,39.9388664105298,-75.15930952542949,193300.0,0.658603066439523
282,Single Family,176500.0,12018400,2018-04-27,369999.0,728.0,108436.0,28064.0,191475807,RSA5 ,39.9318794998911,-75.1555909424838,136500.0,0.368919915999773
320,Single Family,181900.0,11256500,2018-04-12,385000.0,799.0,141336.0,40564.0,191475827,RSA5 ,39.9302452296774,-75.154208776062,181900.0,0.4724675324675325
342,Single Family,188500.0,11396500,2018-07-24,200000.0,795.0,106466.0,42034.0,191481817,RSA5 ,39.92550292736279,-75.1532269042469,148500.0,0.7425
351,Single Family,174000.0,11397400,2018-11-05,192500.0,737.1,135199.0,38801.0,191481817,RSA5 ,39.925635092666205,-75.153673801203,174000.0,0.9038961038961039
352,Single Family,188500.0,11397500,2018-05-22,155000.0,729.9,146466.0,42034.0,191481817,RSA5 ,39.9256495088467,-75.1537235386998,188500.0,1.2161290322580645
361,Single Family,308700.0,21471400,2018-03-30,487000.0,960.0,182000.0,86700.0,191474833,RSA5 ,39.9340528952658,-75.15551799389691,268700.0,0.5517453798767967
370,Single Family,195800.0,11438200,2018-02-06,24000.0,729.0,152138.0,43662.0,191481310,RSA5 ,39.92750306281221,-75.1527418923091,195800.0,8.158333333333333
372,Single Family,180700.0,11438400,2018-07-23,270000.0,729.0,100405.0,40295.0,191481310,RSA5 ,39.927425383065795,-75.1527603063258,140700.0,0.5211111111111111
377,Single Family,195800.0,11439300,2018-11-29,254800.0,736.29,152137.0,43663.0,191481311,RSA5 ,39.9281750464873,-75.15287971024179,195800.0,0.7684458398744113
418,Single Family,311500.0,11090300,2018-11-21,335000.0,1657.28,189887.0,81613.0,191481304,RSA5 ,39.9273340678388,-75.1483341582232,271500.0,0.8104477611940298
440,Single Family,433500.0,11304300,2018-07-13,500000.0,809.0,0.0,91035.0,191475910,RSA5 ,39.930012211046,-75.1507571907514,91035.0,0.18207
457,Single Family,285700.0,11133400,2018-01-10,263000.0,489.99,214589.0,71111.0,191481910,RSA5 ,39.9257869953493,-75.1492463281364,285700.0,1.0863117870722434
460,Single Family,206700.0,11133800,2018-11-26,210000.0,658.0,152545.0,54155.0,191481928,RSA5 ,39.9259136154307,-75.150134475678,206700.0,0.9842857142857143
491,Single Family,655000.0,12337510,2018-06-08,660000.0,736.0,0.0,117900.0,191481654,RSA5 ,39.928025341547,-75.1627184346124,117900.0,0.17863636363636365
511,Single Family,178900.0,12150200,2018-04-04,138000.0,686.0,110455.0,28445.0,191481709,RSA5 ,39.9258803393232,-75.1566451245752,138900.0,1.0065217391304349
515,Single Family,476500.0,11431500,2018-07-20,575000.0,1010.72,335553.0,100947.0,191481303,RM1  ,39.927495142087004,-75.15252279284691,436500.0,0.7591304347826087
528,Single Family,183600.0,12009400,2018-05-07,324900.0,468.0,115867.0,27733.0,191475730,RSA5 ,39.9325378882205,-75.1572706350816,143600.0,0.4419821483533395
547,Single Family,169200.0,12103600,2018-08-24,135000.0,600.0,142297.0,26903.0,191481220,RSA5 ,39.9282917492874,-75.1559141212649,169200.0,1.2533333333333334
657,Single Family,554500.0,21061930,2018-02-20,575000.0,902.0,396468.0,158032.0,191473716,RSA5 ,39.938791884808296,-75.16198093769421,554500.0,0.9643478260869566
672,Single Family,218300.0,21114600,2019-01-09,435000.0,706.2,146261.0,72039.0,191474711,RSA5 ,39.936703805403795,-75.15728479297229,218300.0,0.5018390804597701
710,Single Family,229000.0,12371500,2019-02-27,120000.0,798.0,186634.0,42366.0,191481612,RSA5 ,39.9259470832567,-75.1613353282433,229000.0,1.9083333333333334
738,Single Family,657200.0,21591600,2018-07-19,740000.0,960.0,184932.0,187302.0,191473603,RM1  ,39.939441823252395,-75.1628034570575,372234.0,0.5030189189189189
747,Single Family,232500.0,12372300,2018-10-15,190000.0,960.0,189488.0,43012.0,191481612,RSA5 ,39.9260021620524,-75.1617304730039,232500.0,1.2236842105263157
784,Single Family,276100.0,12457300,2019-03-07,350000.0,985.2,208454.0,67646.0,191481034,RSA5 ,39.930467469427796,-75.167018341066,276100.0,0.7888571428571428
786,Single Family,278800.0,12457500,2018-06-07,300000.0,985.2,210495.0,68305.0,191481034,RSA5 ,39.930484976182896,-75.1671232714043,278800.0,0.9293333333333333
819,Single Family,311200.0,12069800,2018-11-29,295000.0,567.0,224193.0,47007.0,191475804,RSA5 ,39.932504216275,-75.1562483130704,271200.0,0.9193220338983051
850,Single Family,244500.0,22013700,2018-11-13,218000.0,410.0,171200.0,73300.0,191473010,RM1  ,39.9397646445428,-75.15266302057759,244500.0,1.121559633027523
884,Single Family,346500.0,12163200,2018-06-21,275000.0,891.0,254161.0,52339.0,191481712,RSA5 ,39.9253655824334,-75.1568163086553,306500.0,1.1145454545454545
905,Single Family,192600.0,12212600,2018-07-16,309000.0,854.0,161977.0,30623.0,191475713,RSA5 ,39.9309872377198,-75.1583631406515,192600.0,0.6233009708737864
915,Single Family,212900.0,12024500,2018-05-11,185000.0,855.0,179048.0,33852.0,191475723,RSA5 ,39.9318723892706,-75.157086705271,212900.0,1.1508108108108108
932,Single Family,174800.0,11404500,2019-01-10,193500.0,663.84,135821.0,38979.0,191481836,RSA5 ,39.9255745429545,-75.1554890066261,174800.0,0.903359173126615
945,Single Family,390300.0,11260900,2018-05-15,395000.0,922.5,128799.0,82685.0,191476516,RSA5 ,39.929833093475295,-75.1526490474542,211484.0,0.5354025316455696
